Reporting unit,Reporting unit type,State,Peer group,Interval,Time period,Patient cohort,Number of patients,,Percentage of patients seen on time,,Peer group average
Port Macquarie Hospital,Hospital,NSW,Large regional hospitals,FY,2015–16,Triage 3. Urgent,"12,717",,81%,,71%
Port Macquarie Hospital,Hospital,NSW,Large regional hospitals,FY,2016–17,Triage 3. Urgent,"13,365",,76%,,71%
Port Macquarie Hospital,Hospital,NSW,Large regional hospitals,FY,2017–18,Triage 3. Urgent,"12,730",,73%,,70%
Port Macquarie Hospital,Hospital,NSW,Large regional hospitals,FY,2018–19,Triage 3. Urgent,"14,411",,72%,,68%
Port Macquarie Hospital,Hospital,NSW,Large regional hospitals,FY,2011–12,Triage 4. Semi-Urgent,"12,363",,77%,,71%
Port Macquarie Hospital,Hospital,NSW,Large regional hospitals,FY,2012–13,Triage 4. Semi-Urgent,"11,193",,82%,*,74%
Port Macquarie Hospital,Hospital,NSW,Large regional hospitals,FY,2013–14,Triage 4. Semi-Urgent,"9,420",,NP†,,75%
Port Macquarie Hospital,Hospital,NSW,Large regional hospitals,FY,2014–15,Triage 4. Semi-Urgent,"10,122",,89%,*,74%
Port Macquarie Hospital,Hospital,NSW,Large regional hospitals,FY,2015–16,Triage 4. Semi-Urgent,"12,047",,NP†,,73%
Port Macquarie Hospital,Hospital,NSW,Large regional hospitals,FY,2016–17,Triage 4. Semi-Urgent,"11,377",,82%,,73%
Port Macquarie Hospital,Hospital,NSW,Large regional hospitals,FY,2017–18,Triage 4. Semi-Urgent,"12,888",,81%,,73%
Port Macquarie Hospital,Hospital,NSW,Large regional hospitals,FY,2018–19,Triage 4. Semi-Urgent,"14,888",,83%,,73%
Port Macquarie Hospital,Hospital,NSW,Large regional hospitals,FY,2011–12,Triage 5. Non-Urgent,"1,712",,94%,*,88%
Port Macquarie Hospital,Hospital,NSW,Large regional hospitals,FY,2012–13,Triage 5. Non-Urgent,"1,580",,NP†,,90%
Port Macquarie Hospital,Hospital,NSW,Large regional hospitals,FY,2013–14,Triage 5. Non-Urgent,745,,NP†,,91%
Port Macquarie Hospital,Hospital,NSW,Large regional hospitals,FY,2014–15,Triage 5. Non-Urgent,787,,NP†,,92%
Port Macquarie Hospital,Hospital,NSW,Large regional hospitals,FY,2015–16,Triage 5. Non-Urgent,"1,074",,NP†,,92%
Port Macquarie Hospital,Hospital,NSW,Large regional hospitals,FY,2016–17,Triage 5. Non-Urgent,"1,070",,95%,*,91%
Port Macquarie Hospital,Hospital,NSW,Large regional hospitals,FY,2017–18,Triage 5. Non-Urgent,"1,321",,94%,*,91%
Port Macquarie Hospital,Hospital,NSW,Large regional hospitals,FY,2018–19,Triage 5. Non-Urgent,"2,210",,97%,,91%
Prince of Wales Hospital,Hospital,NSW,Major hospitals,FY,2011–12,Triage 1. Resuscitation,384,,100%,,100%
Prince of Wales Hospital,Hospital,NSW,Major hospitals,FY,2012–13,Triage 1. Resuscitation,416,,100%,,100%
Prince of Wales Hospital,Hospital,NSW,Major hospitals,FY,2013–14,Triage 1. Resuscitation,440,,100%,,100%
Prince of Wales Hospital,Hospital,NSW,Major hospitals,FY,2014–15,Triage 1. Resuscitation,714,,100%,,100%
Prince of Wales Hospital,Hospital,NSW,Major hospitals,FY,2015–16,Triage 1. Resuscitation,771,,100%,,100%
Prince of Wales Hospital,Hospital,NSW,Major hospitals,FY,2016–17,Triage 1. Resuscitation,778,,100%,,100%
Prince of Wales Hospital,Hospital,NSW,Major hospitals,FY,2017–18,Triage 1. Resuscitation,868,,100%,,100%
Prince of Wales Hospital,Hospital,NSW,Major hospitals,FY,2018–19,Triage 1. Resuscitation,982,,100%,,100%
Prince of Wales Hospital,Hospital,NSW,Major hospitals,FY,2011–12,Triage 2. Emergency,"2,745",,77%,,80%
Prince of Wales Hospital,Hospital,NSW,Major hospitals,FY,2012–13,Triage 2. Emergency,"3,155",,79%,,80%
Prince of Wales Hospital,Hospital,NSW,Major hospitals,FY,2013–14,Triage 2. Emergency,"4,465",,86%,,78%
Prince of Wales Hospital,Hospital,NSW,Major hospitals,FY,2014–15,Triage 2. Emergency,"4,918",,83%,,74%
Prince of Wales Hospital,Hospital,NSW,Major hospitals,FY,2015–16,Triage 2. Emergency,"4,857",,84%,,73%
Prince of Wales Hospital,Hospital,NSW,Major hospitals,FY,2016–17,Triage 2. Emergency,"4,659",,81%,,71%
Prince of Wales Hospital,Hospital,NSW,Major hospitals,FY,2017–18,Triage 2. Emergency,"5,473",,75%,,70%
Prince of Wales Hospital,Hospital,NSW,Major hospitals,FY,2018–19,Triage 2. Emergency,"5,966",,71%,,69%
Prince of Wales Hospital,Hospital,NSW,Major hospitals,FY,2011–12,Triage 3. Urgent,"19,038",,65%,,63%
Prince of Wales Hospital,Hospital,NSW,Major hospitals,FY,2012–13,Triage 3. Urgent,"20,901",,76%,,65%
Prince of Wales Hospital,Hospital,NSW,Major hospitals,FY,2013–14,Triage 3. Urgent,"24,311",,81%,,67%
Prince of Wales Hospital,Hospital,NSW,Major hospitals,FY,2014–15,Triage 3. Urgent,"25,442",,78%,,66%
Prince of Wales Hospital,Hospital,NSW,Major hospitals,FY,2015–16,Triage 3. Urgent,"26,448",,80%,,64%
Prince of Wales Hospital,Hospital,NSW,Major hospitals,FY,2016–17,Triage 3. Urgent,"27,639",,79%,,61%
Prince of Wales Hospital,Hospital,NSW,Major hospitals,FY,2017–18,Triage 3. Urgent,"30,552",,77%,,59%
Prince of Wales Hospital,Hospital,NSW,Major hospitals,FY,2018–19,Triage 3. Urgent,"32,904",,75%,,57%
Prince of Wales Hospital,Hospital,NSW,Major hospitals,FY,2011–12,Triage 4. Semi-Urgent,"17,271",,76%,,69%
Prince of Wales Hospital,Hospital,NSW,Major hospitals,FY,2012–13,Triage 4. Semi-Urgent,"18,481",,84%,,71%
Prince of Wales Hospital,Hospital,NSW,Major hospitals,FY,2013–14,Triage 4. Semi-Urgent,"18,094",,87%,,75%
Prince of Wales Hospital,Hospital,NSW,Major hospitals,FY,2014–15,Triage 4. Semi-Urgent,"18,748",,86%,,75%
Prince of Wales Hospital,Hospital,NSW,Major hospitals,FY,2015–16,Triage 4. Semi-Urgent,"18,853",,86%,,74%
Prince of Wales Hospital,Hospital,NSW,Major hospitals,FY,2016–17,Triage 4. Semi-Urgent,"18,807",,87%,,73%
Prince of Wales Hospital,Hospital,NSW,Major hospitals,FY,2017–18,Triage 4. Semi-Urgent,"17,937",,85%,,71%
Prince of Wales Hospital,Hospital,NSW,Major hospitals,FY,2018–19,Triage 4. Semi-Urgent,"17,047",,82%,,69%
Prince of Wales Hospital,Hospital,NSW,Major hospitals,FY,2011–12,Triage 5. Non-Urgent,"3,590",,87%,*,88%
Prince of Wales Hospital,Hospital,NSW,Major hospitals,FY,2012–13,Triage 5. Non-Urgent,"4,150",,93%,*,90%
Prince of Wales Hospital,Hospital,NSW,Major hospitals,FY,2013–14,Triage 5. Non-Urgent,"1,794",,NP†,,92%
Prince of Wales Hospital,Hospital,NSW,Major hospitals,FY,2014–15,Triage 5. Non-Urgent,"1,568",,NP†,,92%
Prince of Wales Hospital,Hospital,NSW,Major hospitals,FY,2015–16,Triage 5. Non-Urgent,"1,895",,93%,*,92%
Prince of Wales Hospital,Hospital,NSW,Major hospitals,FY,2016–17,Triage 5. Non-Urgent,"1,765",,92%,*,92%
Prince of Wales Hospital,Hospital,NSW,Major hospitals,FY,2017–18,Triage 5. Non-Urgent,"1,768",,94%,*,90%
Prince of Wales Hospital,Hospital,NSW,Major hospitals,FY,2018–19,Triage 5. Non-Urgent,"1,712",,92%,,89%
Queanbeyan Hospital,Hospital,NSW,Small hospitals,FY,2013–14,Triage 1. Resuscitation,39,,100%,,100%
Queanbeyan Hospital,Hospital,NSW,Small hospitals,FY,2014–15,Triage 1. Resuscitation,28,,100%,,100%
Queanbeyan Hospital,Hospital,NSW,Small hospitals,FY,2015–16,Triage 1. Resuscitation,15,,100%,,100%
Queanbeyan Hospital,Hospital,NSW,Small hospitals,FY,2016–17,Triage 1. Resuscitation,48,,100%,,100%
Queanbeyan Hospital,Hospital,NSW,Small hospitals,FY,2017–18,Triage 1. Resuscitation,99,,100%,,100%
Queanbeyan Hospital,Hospital,NSW,Small hospitals,FY,2018–19,Triage 1. Resuscitation,128,,100%,,100%
Queanbeyan Hospital,Hospital,NSW,Small hospitals,FY,2013–14,Triage 2. Emergency,"1,180",,69%,,85%
Queanbeyan Hospital,Hospital,NSW,Small hospitals,FY,2014–15,Triage 2. Emergency,"1,229",,81%,,86%
Queanbeyan Hospital,Hospital,NSW,Small hospitals,FY,2015–16,Triage 2. Emergency,"1,021",,87%,,86%
Queanbeyan Hospital,Hospital,NSW,Small hospitals,FY,2016–17,Triage 2. Emergency,"1,134",,85%,,86%
Queanbeyan Hospital,Hospital,NSW,Small hospitals,FY,2017–18,Triage 2. Emergency,"1,468",,85%,,85%
Queanbeyan Hospital,Hospital,NSW,Small hospitals,FY,2018–19,Triage 2. Emergency,"1,523",,90%,,83%
Queanbeyan Hospital,Hospital,NSW,Small hospitals,FY,2013–14,Triage 3. Urgent,"4,402",,70%,,82%
Queanbeyan Hospital,Hospital,NSW,Small hospitals,FY,2014–15,Triage 3. Urgent,"4,525",,76%,,84%
Queanbeyan Hospital,Hospital,NSW,Small hospitals,FY,2015–16,Triage 3. Urgent,"4,081",,78%,,84%
Queanbeyan Hospital,Hospital,NSW,Small hospitals,FY,2016–17,Triage 3. Urgent,"4,939",,81%,,85%
Queanbeyan Hospital,Hospital,NSW,Small hospitals,FY,2017–18,Triage 3. Urgent,"5,682",,79%,,83%
Queanbeyan Hospital,Hospital,NSW,Small hospitals,FY,2018–19,Triage 3. Urgent,"5,719",,86%,,81%
Queanbeyan Hospital,Hospital,NSW,Small hospitals,FY,2013–14,Triage 4. Semi-Urgent,"7,307",,73%,*,83%
Queanbeyan Hospital,Hospital,NSW,Small hospitals,FY,2014–15,Triage 4. Semi-Urgent,"8,187",,77%,*,85%
Queanbeyan Hospital,Hospital,NSW,Small hospitals,FY,2015–16,Triage 4. Semi-Urgent,"8,581",,78%,*,85%
Queanbeyan Hospital,Hospital,NSW,Small hospitals,FY,2016–17,Triage 4. Semi-Urgent,"8,328",,83%,,85%
Queanbeyan Hospital,Hospital,NSW,Small hospitals,FY,2017–18,Triage 4. Semi-Urgent,"8,871",,82%,,84%
Queanbeyan Hospital,Hospital,NSW,Small hospitals,FY,2018–19,Triage 4. Semi-Urgent,"10,649",,83%,,83%
Queanbeyan Hospital,Hospital,NSW,Small hospitals,FY,2013–14,Triage 5. Non-Urgent,"3,706",,NP†,,95%
Queanbeyan Hospital,Hospital,NSW,Small hospitals,FY,2014–15,Triage 5. Non-Urgent,"3,064",,NP†,,95%
Queanbeyan Hospital,Hospital,NSW,Small hospitals,FY,2015–16,Triage 5. Non-Urgent,"2,861",,NP†,,95%
Queanbeyan Hospital,Hospital,NSW,Small hospitals,FY,2016–17,Triage 5. Non-Urgent,"3,139",,94%,*,95%
Queanbeyan Hospital,Hospital,NSW,Small hospitals,FY,2017–18,Triage 5. Non-Urgent,"3,075",,94%,,95%
Queanbeyan Hospital,Hospital,NSW,Small hospitals,FY,2018–19,Triage 5. Non-Urgent,"3,769",,93%,,95%
Quirindi Hospital,Hospital,NSW,Unpeered,FY,2011–12,Triage 1. Resuscitation,<5,,NP,,Not peered
Quirindi Hospital,Hospital,NSW,Unpeered,FY,2012–13,Triage 1. Resuscitation,<5,,NP,,Not peered
Quirindi Hospital,Hospital,NSW,Unpeered,FY,2013–14,Triage 1. Resuscitation,<5,,NP,,Not peered
Quirindi Hospital,Hospital,NSW,Unpeered,FY,2014–15,Triage 1. Resuscitation,<5,,NP,,Not peered
Quirindi Hospital,Hospital,NSW,Unpeered,FY,2015–16,Triage 1. Resuscitation,<5,,NP,,Not peered
Quirindi Hospital,Hospital,NSW,Unpeered,FY,2016–17,Triage 1. Resuscitation,5,,NP,,Not peered
Quirindi Hospital,Hospital,NSW,Unpeered,FY,2017–18,Triage 1. Resuscitation,8,,NP,,Not peered
Quirindi Hospital,Hospital,NSW,Unpeered,FY,2018–19,Triage 1. Resuscitation,6,,NP,,Not peered
Quirindi Hospital,Hospital,NSW,Unpeered,FY,2011–12,Triage 2. Emergency,170,,87%,,Not peered
Quirindi Hospital,Hospital,NSW,Unpeered,FY,2012–13,Triage 2. Emergency,176,,86%,,Not peered
Quirindi Hospital,Hospital,NSW,Unpeered,FY,2013–14,Triage 2. Emergency,142,,92%,,Not peered
Quirindi Hospital,Hospital,NSW,Unpeered,FY,2014–15,Triage 2. Emergency,140,,93%,,Not peered
Quirindi Hospital,Hospital,NSW,Unpeered,FY,2015–16,Triage 2. Emergency,208,,88%,,Not peered
Quirindi Hospital,Hospital,NSW,Unpeered,FY,2016–17,Triage 2. Emergency,266,,95%,,Not peered
Quirindi Hospital,Hospital,NSW,Unpeered,FY,2017–18,Triage 2. Emergency,216,,93%,,Not peered
Quirindi Hospital,Hospital,NSW,Unpeered,FY,2018–19,Triage 2. Emergency,258,,78%,,Not peered
Quirindi Hospital,Hospital,NSW,Unpeered,FY,2011–12,Triage 3. Urgent,476,,91%,,Not peered
Quirindi Hospital,Hospital,NSW,Unpeered,FY,2012–13,Triage 3. Urgent,532,,95%,,Not peered
Quirindi Hospital,Hospital,NSW,Unpeered,FY,2013–14,Triage 3. Urgent,539,,90%,,Not peered
Quirindi Hospital,Hospital,NSW,Unpeered,FY,2014–15,Triage 3. Urgent,682,,96%,,Not peered
Quirindi Hospital,Hospital,NSW,Unpeered,FY,2015–16,Triage 3. Urgent,887,,95%,,Not peered
Quirindi Hospital,Hospital,NSW,Unpeered,FY,2016–17,Triage 3. Urgent,932,,97%,,Not peered
Quirindi Hospital,Hospital,NSW,Unpeered,FY,2017–18,Triage 3. Urgent,916,,95%,,Not peered
Quirindi Hospital,Hospital,NSW,Unpeered,FY,2018–19,Triage 3. Urgent,931,,82%,,Not peered
Quirindi Hospital,Hospital,NSW,Unpeered,FY,2011–12,Triage 4. Semi-Urgent,"1,460",,97%,,Not peered
Quirindi Hospital,Hospital,NSW,Unpeered,FY,2012–13,Triage 4. Semi-Urgent,"1,648",,97%,,Not peered
Quirindi Hospital,Hospital,NSW,Unpeered,FY,2013–14,Triage 4. Semi-Urgent,"1,434",,96%,,Not peered
Quirindi Hospital,Hospital,NSW,Unpeered,FY,2014–15,Triage 4. Semi-Urgent,"1,239",,98%,,Not peered
Quirindi Hospital,Hospital,NSW,Unpeered,FY,2015–16,Triage 4. Semi-Urgent,"1,404",,98%,,Not peered
Quirindi Hospital,Hospital,NSW,Unpeered,FY,2016–17,Triage 4. Semi-Urgent,"1,363",,97%,,Not peered
Quirindi Hospital,Hospital,NSW,Unpeered,FY,2017–18,Triage 4. Semi-Urgent,"1,445",,97%,,Not peered
Quirindi Hospital,Hospital,NSW,Unpeered,FY,2018–19,Triage 4. Semi-Urgent,"1,394",,90%,,Not peered
Quirindi Hospital,Hospital,NSW,Unpeered,FY,2011–12,Triage 5. Non-Urgent,965,,100%,,Not peered
Quirindi Hospital,Hospital,NSW,Unpeered,FY,2012–13,Triage 5. Non-Urgent,824,,100%,,Not peered
Quirindi Hospital,Hospital,NSW,Unpeered,FY,2013–14,Triage 5. Non-Urgent,669,,100%,,Not peered
Quirindi Hospital,Hospital,NSW,Unpeered,FY,2014–15,Triage 5. Non-Urgent,625,,100%,,Not peered
Quirindi Hospital,Hospital,NSW,Unpeered,FY,2015–16,Triage 5. Non-Urgent,467,,99%,,Not peered
Quirindi Hospital,Hospital,NSW,Unpeered,FY,2016–17,Triage 5. Non-Urgent,333,,99%,,Not peered
Quirindi Hospital,Hospital,NSW,Unpeered,FY,2017–18,Triage 5. Non-Urgent,371,,100%,,Not peered
Quirindi Hospital,Hospital,NSW,Unpeered,FY,2018–19,Triage 5. Non-Urgent,344,,99%,,Not peered
Royal North Shore Hospital,Hospital,NSW,Major hospitals,FY,2011–12,Triage 1. Resuscitation,572,,100%,,100%
Royal North Shore Hospital,Hospital,NSW,Major hospitals,FY,2012–13,Triage 1. Resuscitation,"1,108",,100%,,100%
Royal North Shore Hospital,Hospital,NSW,Major hospitals,FY,2013–14,Triage 1. Resuscitation,"1,253",,100%,,100%
Royal North Shore Hospital,Hospital,NSW,Major hospitals,FY,2014–15,Triage 1. Resuscitation,"1,415",,100%,,100%
Royal North Shore Hospital,Hospital,NSW,Major hospitals,FY,2015–16,Triage 1. Resuscitation,"1,479",,100%,,100%
Royal North Shore Hospital,Hospital,NSW,Major hospitals,FY,2016–17,Triage 1. Resuscitation,"1,722",,100%,,100%
Royal North Shore Hospital,Hospital,NSW,Major hospitals,FY,2017–18,Triage 1. Resuscitation,"1,470",,100%,,100%
Royal North Shore Hospital,Hospital,NSW,Major hospitals,FY,2018–19,Triage 1. Resuscitation,"1,222",,100%,,100%
Royal North Shore Hospital,Hospital,NSW,Major hospitals,FY,2011–12,Triage 2. Emergency,"9,630",,77%,,80%
Royal North Shore Hospital,Hospital,NSW,Major hospitals,FY,2012–13,Triage 2. Emergency,"11,174",,80%,,80%
Royal North Shore Hospital,Hospital,NSW,Major hospitals,FY,2013–14,Triage 2. Emergency,"13,222",,81%,,78%
Royal North Shore Hospital,Hospital,NSW,Major hospitals,FY,2014–15,Triage 2. Emergency,"15,337",,81%,,74%
Royal North Shore Hospital,Hospital,NSW,Major hospitals,FY,2015–16,Triage 2. Emergency,"16,815",,79%,,73%
Royal North Shore Hospital,Hospital,NSW,Major hospitals,FY,2016–17,Triage 2. Emergency,"17,225",,79%,,71%
Royal North Shore Hospital,Hospital,NSW,Major hospitals,FY,2017–18,Triage 2. Emergency,"17,678",,81%,,70%
Royal North Shore Hospital,Hospital,NSW,Major hospitals,FY,2018–19,Triage 2. Emergency,"18,886",,78%,,69%
Royal North Shore Hospital,Hospital,NSW,Major hospitals,FY,2011–12,Triage 3. Urgent,"19,408",,69%,,63%
Royal North Shore Hospital,Hospital,NSW,Major hospitals,FY,2012–13,Triage 3. Urgent,"19,053",,75%,,65%
Royal North Shore Hospital,Hospital,NSW,Major hospitals,FY,2013–14,Triage 3. Urgent,"20,708",,79%,,67%
Royal North Shore Hospital,Hospital,NSW,Major hospitals,FY,2014–15,Triage 3. Urgent,"21,778",,77%,,66%
Royal North Shore Hospital,Hospital,NSW,Major hospitals,FY,2015–16,Triage 3. Urgent,"22,736",,78%,,64%
Royal North Shore Hospital,Hospital,NSW,Major hospitals,FY,2016–17,Triage 3. Urgent,"23,514",,78%,,61%
Royal North Shore Hospital,Hospital,NSW,Major hospitals,FY,2017–18,Triage 3. Urgent,"24,866",,78%,,59%
Royal North Shore Hospital,Hospital,NSW,Major hospitals,FY,2018–19,Triage 3. Urgent,"24,766",,74%,,57%
Royal North Shore Hospital,Hospital,NSW,Major hospitals,FY,2011–12,Triage 4. Semi-Urgent,"23,068",,73%,,69%
Royal North Shore Hospital,Hospital,NSW,Major hospitals,FY,2012–13,Triage 4. Semi-Urgent,"23,921",,77%,,71%
Royal North Shore Hospital,Hospital,NSW,Major hospitals,FY,2013–14,Triage 4. Semi-Urgent,"25,412",,82%,,75%
Royal North Shore Hospital,Hospital,NSW,Major hospitals,FY,2014–15,Triage 4. Semi-Urgent,"26,953",,81%,,75%
Royal North Shore Hospital,Hospital,NSW,Major hospitals,FY,2015–16,Triage 4. Semi-Urgent,"27,779",,81%,,74%
Royal North Shore Hospital,Hospital,NSW,Major hospitals,FY,2016–17,Triage 4. Semi-Urgent,"28,796",,83%,,73%
Royal North Shore Hospital,Hospital,NSW,Major hospitals,FY,2017–18,Triage 4. Semi-Urgent,"32,209",,83%,,71%
Royal North Shore Hospital,Hospital,NSW,Major hospitals,FY,2018–19,Triage 4. Semi-Urgent,"32,259",,80%,,69%
Royal North Shore Hospital,Hospital,NSW,Major hospitals,FY,2011–12,Triage 5. Non-Urgent,"6,753",,88%,,88%
Royal North Shore Hospital,Hospital,NSW,Major hospitals,FY,2012–13,Triage 5. Non-Urgent,"8,603",,92%,,90%
Royal North Shore Hospital,Hospital,NSW,Major hospitals,FY,2013–14,Triage 5. Non-Urgent,"9,684",,94%,,92%
Royal North Shore Hospital,Hospital,NSW,Major hospitals,FY,2014–15,Triage 5. Non-Urgent,"8,516",,94%,,92%
Royal North Shore Hospital,Hospital,NSW,Major hospitals,FY,2015–16,Triage 5. Non-Urgent,"9,076",,94%,,92%
Royal North Shore Hospital,Hospital,NSW,Major hospitals,FY,2016–17,Triage 5. Non-Urgent,"9,605",,95%,,92%
Royal North Shore Hospital,Hospital,NSW,Major hospitals,FY,2017–18,Triage 5. Non-Urgent,"10,359",,95%,,90%
Royal North Shore Hospital,Hospital,NSW,Major hospitals,FY,2018–19,Triage 5. Non-Urgent,"9,681",,93%,,89%
Royal Prince Alfred Hospital,Hospital,NSW,Major hospitals,FY,2011–12,Triage 1. Resuscitation,388,,100%,,100%
Royal Prince Alfred Hospital,Hospital,NSW,Major hospitals,FY,2012–13,Triage 1. Resuscitation,465,,100%,,100%
Royal Prince Alfred Hospital,Hospital,NSW,Major hospitals,FY,2013–14,Triage 1. Resuscitation,451,,100%,,100%
Royal Prince Alfred Hospital,Hospital,NSW,Major hospitals,FY,2014–15,Triage 1. Resuscitation,395,,100%,,100%
Royal Prince Alfred Hospital,Hospital,NSW,Major hospitals,FY,2015–16,Triage 1. Resuscitation,410,,100%,,100%
Royal Prince Alfred Hospital,Hospital,NSW,Major hospitals,FY,2016–17,Triage 1. Resuscitation,452,,100%,,100%
Royal Prince Alfred Hospital,Hospital,NSW,Major hospitals,FY,2017–18,Triage 1. Resuscitation,664,,100%,,100%
Royal Prince Alfred Hospital,Hospital,NSW,Major hospitals,FY,2018–19,Triage 1. Resuscitation,814,,100%,,100%
Royal Prince Alfred Hospital,Hospital,NSW,Major hospitals,FY,2011–12,Triage 2. Emergency,"8,440",,78%,,80%
Royal Prince Alfred Hospital,Hospital,NSW,Major hospitals,FY,2012–13,Triage 2. Emergency,"13,112",,67%,,80%
Royal Prince Alfred Hospital,Hospital,NSW,Major hospitals,FY,2013–14,Triage 2. Emergency,"13,233",,65%,,78%
Royal Prince Alfred Hospital,Hospital,NSW,Major hospitals,FY,2014–15,Triage 2. Emergency,"12,942",,64%,,74%
Royal Prince Alfred Hospital,Hospital,NSW,Major hospitals,FY,2015–16,Triage 2. Emergency,"11,786",,73%,,73%
Royal Prince Alfred Hospital,Hospital,NSW,Major hospitals,FY,2016–17,Triage 2. Emergency,"11,388",,79%,,71%
Royal Prince Alfred Hospital,Hospital,NSW,Major hospitals,FY,2017–18,Triage 2. Emergency,"12,706",,78%,,70%
Royal Prince Alfred Hospital,Hospital,NSW,Major hospitals,FY,2018–19,Triage 2. Emergency,"13,844",,81%,,69%
Royal Prince Alfred Hospital,Hospital,NSW,Major hospitals,FY,2011–12,Triage 3. Urgent,"27,736",,63%,,63%
Royal Prince Alfred Hospital,Hospital,NSW,Major hospitals,FY,2012–13,Triage 3. Urgent,"30,180",,53%,,65%
Royal Prince Alfred Hospital,Hospital,NSW,Major hospitals,FY,2013–14,Triage 3. Urgent,"32,302",,58%,,67%
Royal Prince Alfred Hospital,Hospital,NSW,Major hospitals,FY,2014–15,Triage 3. Urgent,"32,067",,60%,,66%
Royal Prince Alfred Hospital,Hospital,NSW,Major hospitals,FY,2015–16,Triage 3. Urgent,"34,632",,70%,,64%
Royal Prince Alfred Hospital,Hospital,NSW,Major hospitals,FY,2016–17,Triage 3. Urgent,"38,729",,69%,,61%
Royal Prince Alfred Hospital,Hospital,NSW,Major hospitals,FY,2017–18,Triage 3. Urgent,"39,239",,67%,,59%
Royal Prince Alfred Hospital,Hospital,NSW,Major hospitals,FY,2018–19,Triage 3. Urgent,"41,662",,70%,,57%
Royal Prince Alfred Hospital,Hospital,NSW,Major hospitals,FY,2011–12,Triage 4. Semi-Urgent,"21,209",,70%,,69%
Royal Prince Alfred Hospital,Hospital,NSW,Major hospitals,FY,2012–13,Triage 4. Semi-Urgent,"18,402",,62%,,71%
Royal Prince Alfred Hospital,Hospital,NSW,Major hospitals,FY,2013–14,Triage 4. Semi-Urgent,"19,479",,68%,,75%
Royal Prince Alfred Hospital,Hospital,NSW,Major hospitals,FY,2014–15,Triage 4. Semi-Urgent,"20,193",,71%,,75%
Royal Prince Alfred Hospital,Hospital,NSW,Major hospitals,FY,2015–16,Triage 4. Semi-Urgent,"20,889",,77%,,74%
Royal Prince Alfred Hospital,Hospital,NSW,Major hospitals,FY,2016–17,Triage 4. Semi-Urgent,"19,031",,78%,,73%
Royal Prince Alfred Hospital,Hospital,NSW,Major hospitals,FY,2017–18,Triage 4. Semi-Urgent,"19,338",,75%,,71%
Royal Prince Alfred Hospital,Hospital,NSW,Major hospitals,FY,2018–19,Triage 4. Semi-Urgent,"20,544",,80%,,69%
Royal Prince Alfred Hospital,Hospital,NSW,Major hospitals,FY,2011–12,Triage 5. Non-Urgent,"4,216",,86%,,88%
Royal Prince Alfred Hospital,Hospital,NSW,Major hospitals,FY,2012–13,Triage 5. Non-Urgent,"1,904",,86%,,90%
Royal Prince Alfred Hospital,Hospital,NSW,Major hospitals,FY,2013–14,Triage 5. Non-Urgent,"2,009",,89%,,92%
Royal Prince Alfred Hospital,Hospital,NSW,Major hospitals,FY,2014–15,Triage 5. Non-Urgent,"1,917",,89%,,92%
Royal Prince Alfred Hospital,Hospital,NSW,Major hospitals,FY,2015–16,Triage 5. Non-Urgent,"2,201",,87%,,92%
Royal Prince Alfred Hospital,Hospital,NSW,Major hospitals,FY,2016–17,Triage 5. Non-Urgent,"1,369",,92%,,92%
Royal Prince Alfred Hospital,Hospital,NSW,Major hospitals,FY,2017–18,Triage 5. Non-Urgent,"2,070",,92%,,90%
Royal Prince Alfred Hospital,Hospital,NSW,Major hospitals,FY,2018–19,Triage 5. Non-Urgent,"1,562",,94%,,89%
Ryde Hospital,Hospital,NSW,Medium metropolitan hospitals,FY,2011–12,Triage 1. Resuscitation,134,,100%,,99%
Ryde Hospital,Hospital,NSW,Medium metropolitan hospitals,FY,2012–13,Triage 1. Resuscitation,113,,100%,,100%
Ryde Hospital,Hospital,NSW,Medium metropolitan hospitals,FY,2013–14,Triage 1. Resuscitation,139,,100%,,100%
Ryde Hospital,Hospital,NSW,Medium metropolitan hospitals,FY,2014–15,Triage 1. Resuscitation,203,,100%,,99%
Ryde Hospital,Hospital,NSW,Medium metropolitan hospitals,FY,2015–16,Triage 1. Resuscitation,135,,100%,,100%
Ryde Hospital,Hospital,NSW,Medium metropolitan hospitals,FY,2016–17,Triage 1. Resuscitation,136,,100%,,100%
Ryde Hospital,Hospital,NSW,Medium metropolitan hospitals,FY,2017–18,Triage 1. Resuscitation,146,,100%,,100%
Ryde Hospital,Hospital,NSW,Medium metropolitan hospitals,FY,2018–19,Triage 1. Resuscitation,187,,100%,,100%
Ryde Hospital,Hospital,NSW,Medium metropolitan hospitals,FY,2011–12,Triage 2. Emergency,"1,992",,91%,,79%
Ryde Hospital,Hospital,NSW,Medium metropolitan hospitals,FY,2012–13,Triage 2. Emergency,"2,218",,93%,,81%
Ryde Hospital,Hospital,NSW,Medium metropolitan hospitals,FY,2013–14,Triage 2. Emergency,"2,365",,91%,,83%
Ryde Hospital,Hospital,NSW,Medium metropolitan hospitals,FY,2014–15,Triage 2. Emergency,"3,210",,90%,,80%
Ryde Hospital,Hospital,NSW,Medium metropolitan hospitals,FY,2015–16,Triage 2. Emergency,"3,727",,89%,,77%
Ryde Hospital,Hospital,NSW,Medium metropolitan hospitals,FY,2016–17,Triage 2. Emergency,"3,536",,89%,,79%
Ryde Hospital,Hospital,NSW,Medium metropolitan hospitals,FY,2017–18,Triage 2. Emergency,"3,785",,84%,,77%
