hospital_name,hospital_address,state,peer_group,hospital_type,interval,time_period,resuscitation_cohort_percent_patient_seen_on_time,emergency_cohort_percent_patient_seen_on_time,urgent_cohort_percent_patient_seen_on_time,semi_urgent_cohort_percent_patient_seen_on_time,non_urgent_cohort_percent_patient_seen_on_time,hospital_latitude,hospital_longitude,hospital_location_type,hospital_postal_code,hospital_formatted_address,hospital_place_id
"Tumbarumba Multi Purpose Service Hospital,","Tumbarumba Multi Purpose Service Hospital, New South Wales, Australia",New South Wales,Not peered,Hospital,FY,2018–19,,71,93,99,99,-35.7785847,148.0060154,GEOMETRIC_CENTER,2653,"Tumbarumba NSW 2653, Australia",ChIJF9Vot3jqImsRywTCjj7tMsM
"Tumut Hospital Hospital,","Tumut Hospital Hospital, New South Wales, Australia",New South Wales,100%,Hospital,FY,2018–19,100,100,100,100,100,-35.3072377,148.2195498,ROOFTOP,New South Wales,"107 Simpson St, Tumut NSW 2720, Australia",ChIJQWHyx8MaGGsRQNL9c7UJBg8
"Urana Multi Purpose Service Hospital,","Urana Multi Purpose Service Hospital, New South Wales, Australia",New South Wales,Not peered,Hospital,FY,2018–19,,100,100,100,100,-35.3254434,146.2672121,GEOMETRIC_CENTER,Australia,"Cnr Church and Princess Street, Urana NSW 2645, Australia",ChIJXVzPeUmyIWsRwR8-MlhwZG4
"Urbenville Multi Purpose Service Hospital,","Urbenville Multi Purpose Service Hospital, New South Wales, Australia",New South Wales,Not peered,Hospital,FY,2018–19,,90,86,96,100,-28.471523,152.543087,ROOFTOP,New South Wales,"45 Beaury St, Urbenville NSW 2475, Australia",ChIJCXnTYVhDl2sRC6MlrNAD6tM
"Vegetable Creek Multi Purpose Service Emmaville Hospital,","Vegetable Creek Multi Purpose Service Emmaville Hospital, New South Wales, Australia",New South Wales,Not peered,Hospital,FY,2018–19,,,100,97,100,-29.4506775,151.5993942,GEOMETRIC_CENTER,Australia,"Glen Innes Rd, Emmaville NSW 2371, Australia",ChIJkbvSyAyWmGsR14lHeEbUTrs
"Wagga Wagga Hospital Hospital,","Wagga Wagga Hospital Hospital, New South Wales, Australia",New South Wales,100%,Hospital,FY,2018–19,100,82,77,83,95,-35.1185908,147.3573967,GEOMETRIC_CENTER,Australia,"Docker St, Wagga Wagga NSW 2650, Australia",ChIJ7TeJQG6ZGGsR4aLCaSooTlg
"Walcha Multi Purpose Service Hospital,","Walcha Multi Purpose Service Hospital, New South Wales, Australia",New South Wales,Not peered,Hospital,FY,2018–19,,79,90,95,100,-30.9866117,151.5987165,ROOFTOP,New South Wales,"11 Middle St, Walcha NSW 2354, Australia",ChIJC8LcVVDvn2sRgwryl5Lsmv0
"Walgett Multipurpose Service Hospital,","Walgett Multipurpose Service Hospital, New South Wales, Australia",New South Wales,Not peered,Hospital,FY,2018–19,,74,85,92,97,-30.0311583,148.1154657,ROOFTOP,Walgett Shire Council,"District Hospital, 141 Fox St, Walgett NSW 2832, Australia",ChIJOd9IpV4RqGsRjiMg0o8bmP8
"Warialda Multi Purpose Service Hospital,","Warialda Multi Purpose Service Hospital, New South Wales, Australia",New South Wales,Not peered,Hospital,FY,2018–19,,93,94,97,100,-29.5384276,150.5795995,ROOFTOP,New South Wales,"146 Long St, Warialda NSW 2402, Australia",ChIJPZAejDLVo2sRJa52IyZg9cg
"Warren Multi Purpose Service Hospital,","Warren Multi Purpose Service Hospital, New South Wales, Australia",New South Wales,Not peered,Hospital,FY,2018–19,,99,94,98,100,-31.6941659,147.8372708,ROOFTOP,New South Wales,"Lot 176 Dr Kater Dr, Warren NSW 2824, Australia",ChIJc0mrzVzFBWsRLSNdbH-rs6c
"Wee Waa Hospital Hospital,","Wee Waa Hospital Hospital, New South Wales, Australia",New South Wales,Not peered,Hospital,FY,2018–19,,88,86,97,100,-30.2252648,149.4480785,ROOFTOP,Narrabri Shire,"Wee Waa Hospital, 60 Alma St, Wee Waa NSW 2388, Australia",ChIJEa5cE8IVp2sRDe3ZOBkp0BY
"Wellington Health Service Hospital,","Wellington Health Service Hospital, New South Wales, Australia",New South Wales,Not peered,Hospital,FY,2018–19,100,100,89,96,100,-32.5520391,148.9492902,APPROXIMATE,2820,"Wellington NSW 2820, Australia",ChIJXZTZmc2oD2sR5OKsOPjIrhc
"Werris Creek Hospital Hospital,","Werris Creek Hospital Hospital, New South Wales, Australia",New South Wales,Not peered,Hospital,FY,2018–19,,,,,,-31.34727449999999,150.6526567,GEOMETRIC_CENTER,Australia,"North St, Werris Creek NSW 2341, Australia",ChIJ28AmyiH0CmsR19MFmANqdHc
"Western NSW Hospital,","Western NSW Hospital, New South Wales, Australia",New South Wales,Not peered,Local hospital network,FY,2018–19,100,,,87,,-33.3173267,149.0939552,ROOFTOP,New South Wales,"1530 Forest Rd, Orange NSW 2800, Australia",ChIJP98gFswsEGsRFj7MbBOXYoM
"Western Sydney Hospital,","Western Sydney Hospital, New South Wales, Australia",New South Wales,Not peered,Local hospital network,FY,2018–19,100,75,66,72,90,-33.9203683,150.9322007,GEOMETRIC_CENTER,Australia,"Elizabeth &, Goulburn St, Liverpool NSW 2170, Australia",ChIJmQj7tOqVEmsRUAjw-Wh9AQ8
"Westmead Hospital Hospital,","Westmead Hospital Hospital, New South Wales, Australia",New South Wales,100%,Hospital,FY,2018–19,100,63,55,63,88,-33.8024606,150.9897918,GEOMETRIC_CENTER,Australia,"Cnr Hawkesbury Road and, Darcy Rd, Westmead NSW 2145, Australia",ChIJ29bP_u-iEmsRkGpkaFiG4uM
"Wilcannia Multi Purpose Service Hospital,","Wilcannia Multi Purpose Service Hospital, New South Wales, Australia",New South Wales,Not peered,Hospital,FY,2018–19,100,87,97,98,100,-31.5569397,143.3853267,ROOFTOP,New South Wales,"14 Ross St, Wilcannia NSW 2836, Australia",ChIJRaJZvzIo5WoRCLB25YwkHhQ
"Wilson Memorial Community Hospital, Murrurundi Hospital,","Wilson Memorial Community Hospital, Murrurundi Hospital, New South Wales, Australia",New South Wales,Not peered,Hospital,FY,2018–19,,68,64,75,96,-31.7704276,150.8348206,ROOFTOP,New South Wales,"59 O'Connell St, Murrurundi NSW 2338, Australia",ChIJmyDsc7UbC2sRqhJ7OfK29tE
"Wollongong Hospital Hospital,","Wollongong Hospital Hospital, New South Wales, Australia",New South Wales,100%,Hospital,FY,2018–19,100,80,74,81,93,-34.42476,150.88353,GEOMETRIC_CENTER,Australia,"Loftus St, Wollongong NSW 2500, Australia",ChIJPVdUe5gZE2sRgGVwqSzkpI0
"Wyalong Hospital Hospital,","Wyalong Hospital Hospital, New South Wales, Australia",New South Wales,Not peered,Hospital,FY,2018–19,100,87,96,98,100,-33.9164404,147.1967518,ROOFTOP,New South Wales,"70 Ungarie Rd, West Wyalong NSW 2671, Australia",ChIJo8JrqVZfGWsRMNP9c7UJBg8
"Wyong Hospital Hospital,","Wyong Hospital Hospital, New South Wales, Australia",New South Wales,100%,Hospital,FY,2018–19,100,70,59,77,96,-33.2608533,151.479546,GEOMETRIC_CENTER,2259,"Harry Moore Drive, Hamlyn Terrace NSW 2259, Australia",ChIJT8dsOFjQcmsRY4cWWIk6IBY
"Yass Hospital Hospital,","Yass Hospital Hospital, New South Wales, Australia",New South Wales,Not peered,Hospital,FY,2018–19,100,85,89,94,99,-34.8440562,148.9070991,ROOFTOP,Yass Valley Council,"145/145 Meehan St, Yass NSW 2582, Australia",ChIJFexg5IgQF2sRCJXwlCNpqcA
"Young Hospital Hospital,","Young Hospital Hospital, New South Wales, Australia",New South Wales,100%,Hospital,FY,2018–19,100,96,99,99,99,-34.3200918,148.2886929,ROOFTOP,New South Wales,"68 Allanan St, Young NSW 2594, Australia",ChIJ0cRghAX8GWsRgNH9c7UJBg8
"Albury Wodonga Health Hospital,","Albury Wodonga Health Hospital, Victoria, Australia",Victoria,Not peered,Local hospital network,FY,2018–19,100,81,66,73,94,-36.0785951,146.9377197,ROOFTOP,New South Wales,"201 Borella Rd, Albury NSW 2640, Australia",ChIJL6QGAMzhI2sRENL9c7UJBg8
"Albury Wodonga Health [Wodonga Campus] Hospital,","Albury Wodonga Health [Wodonga Campus] Hospital, Victoria, Australia",Victoria,100%,Hospital,FY,2018–19,100,85,77,78,95,-36.1319212,146.8798617,ROOFTOP,Victoria,"53-81 Vermont St, Wodonga VIC 3690, Australia",ChIJydqlD_9YIWsRCYWnujeiaec
"Alfred Health (Vic) Hospital,","Alfred Health (Vic) Hospital, Victoria, Australia",Victoria,Not peered,Local hospital network,FY,2018–19,100,79,76,83,95,-37.8456704,144.9819197,ROOFTOP,Victoria,"55 Commercial Rd, Melbourne VIC 3004, Australia",ChIJYeYFDRho1moRUF8wBXZWBA8
"Angliss Hospital Hospital,","Angliss Hospital Hospital, Victoria, Australia",Victoria,100%,Hospital,FY,2018–19,100,83,82,84,91,-37.8986129,145.3141064,ROOFTOP,Victoria,"39 Albert St, Upper Ferntree Gully VIC 3156, Australia",ChIJoagOrcw81moRx2rvA1Ddb-0
"Austin Health (Vic) Hospital,","Austin Health (Vic) Hospital, Victoria, Australia",Victoria,Not peered,Local hospital network,FY,2018–19,100,65,71,76,88,-37.7894409,145.0229496,ROOFTOP,Victoria,"1 Yarra Blvd, Kew VIC 3101, Australia",ChIJVVVVpZND1moRbyun1A8YTj0
"Austin Hospital [Heidelberg] Hospital,","Austin Hospital [Heidelberg] Hospital, Victoria, Australia",Victoria,100%,Hospital,FY,2018–19,100,65,71,76,88,-37.7565055,145.0590949,ROOFTOP,Victoria,"145 Studley Rd, Heidelberg VIC 3084, Australia",ChIJX_BszoVG1moRgF8wBXZWBA8
"Bairnsdale Regional Health Service Hospital,","Bairnsdale Regional Health Service Hospital, Victoria, Australia",Victoria,100%,Hospital,FY,2018–19,100,80,76,83,95,-37.8312086,147.6077859,ROOFTOP,Victoria,"122 Day St, Bairnsdale VIC 3875, Australia",ChIJbc8CDAh_L2sRbyJz-XPNX4c
"Ballarat Health Services Hospital,","Ballarat Health Services Hospital, Victoria, Australia",Victoria,Not peered,Local hospital network,FY,2018–19,100,66,56,64,84,-37.558752,143.8472356,ROOFTOP,Victoria,"1 Drummond St N, Ballarat Central VIC 3350, Australia",ChIJWYdvCV9E0WoR-sptMEHbbYQ
"Ballarat Health Services [Base Campus] Hospital,","Ballarat Health Services [Base Campus] Hospital, Victoria, Australia",Victoria,100%,Hospital,FY,2018–19,100,66,56,64,84,-37.558752,143.8472356,ROOFTOP,Victoria,"1 Drummond St N, Ballarat Central VIC 3350, Australia",ChIJWYdvCV9E0WoR-sptMEHbbYQ
"Barwon Health Hospital,","Barwon Health Hospital, Victoria, Australia",Victoria,Not peered,Local hospital network,FY,2018–19,100,68,46,56,85,-38.1526665,144.3660732,ROOFTOP,Victoria,"70 Swanston St, Geelong VIC 3220, Australia",ChIJaShpCBkU1GoRP_8CHEA_1pM
"Bass Coast Regional Health Hospital,","Bass Coast Regional Health Hospital, Victoria, Australia",Victoria,Not peered,Local hospital network,FY,2018–19,100,83,77,75,90,-38.6074169,145.5817082,ROOFTOP,Victoria,"235 Graham St, Wonthaggi VIC 3995, Australia",ChIJ9eh0Rp0MKmsRKlsVmUACV6U
"Bendigo Health Care Group Hospital,","Bendigo Health Care Group Hospital, Victoria, Australia",Victoria,Not peered,Local hospital network,FY,2018–19,100,61,60,70,89,-36.749617,144.280769,ROOFTOP,Victoria,"100 Barnard St, Bendigo VIC 3550, Australia",ChIJNdip27hZ12oRvEHFxB2VpOs
"Box Hill Hospital Hospital,","Box Hill Hospital Hospital, Victoria, Australia",Victoria,100%,Hospital,FY,2018–19,100,87,86,86,90,-37.8140803,145.1184572,ROOFTOP,Victoria,"8 Arnold St, Box Hill VIC 3128, Australia",ChIJsbaWKLRA1moRBlVWWtYvxFk
"Casey Hospital Hospital,","Casey Hospital Hospital, Victoria, Australia",Victoria,100%,Hospital,FY,2018–19,100,62,51,60,83,-38.0449846,145.3460403,ROOFTOP,Victoria,"62-70 Kangan Dr, Berwick VIC 3806, Australia",ChIJrVO3_C8a1moRTWIdvHodWx0
"Central Gippsland Health Service Hospital,","Central Gippsland Health Service Hospital, Victoria, Australia",Victoria,Not peered,Local hospital network,FY,2018–19,100,79,77,73,90,-38.1087287,147.0807893,ROOFTOP,Victoria,"155 Guthridge Parade, Sale VIC 3850, Australia",ChIJ8ekGt58vL2sREEBCFKV5BQ8
"Central Gippsland Health Service [Sale] Hospital,","Central Gippsland Health Service [Sale] Hospital, Victoria, Australia",Victoria,100%,Hospital,FY,2018–19,100,79,77,73,90,-38.1087287,147.0807893,ROOFTOP,Victoria,"155 Guthridge Parade, Sale VIC 3850, Australia",ChIJ8ekGt58vL2sREEBCFKV5BQ8
"Dandenong Campus Hospital,","Dandenong Campus Hospital, Victoria, Australia",Victoria,100%,Hospital,FY,2018–19,100,63,52,67,89,-37.9766373,145.2184223,ROOFTOP,Victoria,"135 David St, Dandenong VIC 3175, Australia",ChIJo7wBCRkU1moRldoRKSnG6r4
"Eastern Health (Vic) Hospital,","Eastern Health (Vic) Hospital, Victoria, Australia",Victoria,Not peered,Local hospital network,FY,2018–19,100,82,82,85,93,-37.8527752,145.1644781,GEOMETRIC_CENTER,3131,"321-345 Burwood Hwy., Forest Hill VIC 3131, Australia",ChIJLXUV-A0_1moR6Nlo3N0kHfc
"Echuca Regional Health Hospital,","Echuca Regional Health Hospital, Victoria, Australia",Victoria,100%,Hospital,FY,2018–19,100,65,71,60,87,-36.1392035,144.7482315,ROOFTOP,Victoria,"226 Service St, Echuca VIC 3564, Australia",ChIJT0H8k1YC2WoR_hHMt77fVTs
"Frankston Hospital Hospital,","Frankston Hospital Hospital, Victoria, Australia",Victoria,100%,Hospital,FY,2018–19,100,83,79,85,95,-38.1496875,145.1276749,ROOFTOP,Frankston,"1, Frankston Hospital, 2 Hastings Rd, Frankston VIC 3199, Australia",ChIJ-2uTayh11moRaIxX11X21tA
"Goulburn Valley Health Hospital,","Goulburn Valley Health Hospital, Victoria, Australia",Victoria,Not peered,Local hospital network,FY,2018–19,100,78,45,68,88,-36.3637012,145.4045256,ROOFTOP,Greater Shepparton City,"2/2-48 Graham St, Shepparton VIC 3630, Australia",ChIJW05oWO1G2GoR823cxirMxRA
"Goulburn Valley Health [Shepparton] Hospital,","Goulburn Valley Health [Shepparton] Hospital, Victoria, Australia",Victoria,100%,Hospital,FY,2018–19,100,78,45,68,88,-36.3637012,145.4045256,ROOFTOP,Greater Shepparton City,"2/2-48 Graham St, Shepparton VIC 3630, Australia",ChIJW05oWO1G2GoR823cxirMxRA
"Latrobe Regional Hospital Hospital,","Latrobe Regional Hospital Hospital, Victoria, Australia",Victoria,Not peered,Local hospital network,FY,2018–19,100,80,69,69,90,-38.2198538,146.4709422,ROOFTOP,Victoria,"10 Village Ave, Traralgon VIC 3844, Australia",ChIJNxz9wtQRKWsRfS5D8tYySuE
"Latrobe Regional Hospital [Traralgon] Hospital,","Latrobe Regional Hospital [Traralgon] Hospital, Victoria, Australia",Victoria,100%,Hospital,FY,2018–19,100,80,69,69,90,-38.2192167,146.4715523,GEOMETRIC_CENTER,Australia,"Latrobe Regional Hospital (Traralgon), Traralgon VIC 3844, Australia",ChIJx29WzyoRKWsR3Bl6pZwnXzE
"Maroondah Hospital [East Ringwood] Hospital,","Maroondah Hospital [East Ringwood] Hospital, Victoria, Australia",Victoria,100%,Hospital,FY,2018–19,100,75,76,86,94,-37.8063977,145.2537754,GEOMETRIC_CENTER,Australia,"Maroondah Hospital, Ringwood East VIC 3135, Australia",ChIJl4Hb2UU61moR3SHnXKz0RfA
"Melbourne Health Hospital,","Melbourne Health Hospital, Victoria, Australia",Victoria,Not peered,Local hospital network,FY,2018–19,100,69,59,67,87,-37.7989153,144.95617,ROOFTOP,Victoria,"300 Grattan St, Parkville VIC 3050, Australia",ChIJcQlUfy5d1moR5yLjdZkri50
"Mercy Hospital for Women Hospital,","Mercy Hospital for Women Hospital, Victoria, Australia",Victoria,100%,Hospital,FY,2018–19,,88,96,74,98,-37.7561681,145.0611484,ROOFTOP,Victoria,"163 Studley Rd, Heidelberg VIC 3084, Australia",ChIJleWfr4hG1moR9Ap2RspG4_I
"Mercy Public Hospital Inc. (Vic) Hospital,","Mercy Public Hospital Inc. (Vic) Hospital, Victoria, Australia",Victoria,Not peered,Local hospital network,FY,2018–19,100,83,70,63,88,-37.8870779,144.698109,ROOFTOP,Victoria,"300-310 Princes Hwy, Werribee VIC 3030, Australia",ChIJU806RauI1moR9RDBHpQWXsU
"Mildura Base Hospital Hospital,","Mildura Base Hospital Hospital, Victoria, Australia",Victoria,100%,Hospital,FY,2018–19,100,79,68,65,82,-34.1859678,142.1436676,GEOMETRIC_CENTER,3500,"Ontario Ave & Thirteenth St, Mildura VIC 3500, Australia",ChIJmar0YBIEw2oRsGZedMms-Fs
"Monash Health Hospital,","Monash Health Hospital, Victoria, Australia",Victoria,Not peered,Local hospital network,FY,2018–19,100,65,50,62,87,-37.9207195,145.1236105,ROOFTOP,Victoria,"246 Clayton Rd, Clayton VIC 3168, Australia",ChIJsXFK49hq1moRMoVG1vsS23g
"Monash Medical Centre [Clayton] Hospital,","Monash Medical Centre [Clayton] Hospital, Victoria, Australia",Victoria,100%,Hospital,FY,2018–19,100,69,47,60,87,-37.9207195,145.1236105,ROOFTOP,Victoria,"246 Clayton Rd, Clayton VIC 3168, Australia",ChIJsXFK49hq1moRMoVG1vsS23g
"Northeast Health Wangaratta Hospital,","Northeast Health Wangaratta Hospital, Victoria, Australia",Victoria,100%,Hospital,FY,2018–19,100,83,78,76,91,-36.3541427,146.3136634,ROOFTOP,Victoria,"35-47 Green St, Wangaratta VIC 3677, Australia",ChIJkfH8GcfbJmsRkD9CFKV5BQ8
"Northern Health (Vic) Hospital,","Northern Health (Vic) Hospital, Victoria, Australia",Victoria,Not peered,Local hospital network,FY,2018–19,100,87,78,88,98,-37.6527543,145.0148094,ROOFTOP,Victoria,"185 Cooper St, Epping VIC 3076, Australia",ChIJiWwOlPpO1moROOsn2-x1N4Y
"Peninsula Health (Vic) Hospital,","Peninsula Health (Vic) Hospital, Victoria, Australia",Victoria,Not peered,Local hospital network,FY,2018–19,100,84,80,87,96,-38.1508127,145.1284726,ROOFTOP,Victoria,"2 Hastings Rd, Frankston VIC 3199, Australia",ChIJJV7VeMgK1moRIlsEOMAEKUg
"Rosebud Hospital Hospital,","Rosebud Hospital Hospital, Victoria, Australia",Victoria,100%,Hospital,FY,2018–19,,86,86,92,99,-38.3623626,144.8849166,ROOFTOP,Victoria,"1527 Point Nepean Rd, Capel Sound VIC 3940, Australia",ChIJa7glWJ3J1WoRcKBiFwIsBjA
"Royal Children's Hospital (Melbourne) Hospital,","Royal Children's Hospital (Melbourne) Hospital, Victoria, Australia",Victoria,Not peered,Local hospital network,FY,2018–19,100,84,84,67,87,-37.7940541,144.9489419,ROOFTOP,Victoria,"50 Flemington Rd, Parkville VIC 3052, Australia",ChIJUQAuCyZd1moRA4KTcFn_clw
"Royal Children's Hospital [Parkville] Hospital,","Royal Children's Hospital [Parkville] Hospital, Victoria, Australia",Victoria,100%,Hospital,FY,2018–19,100,84,84,67,87,-37.7940541,144.9489419,ROOFTOP,Victoria,"50 Flemington Rd, Parkville VIC 3052, Australia",ChIJUQAuCyZd1moRA4KTcFn_clw
"Royal Melbourne Hospital [Parkville] Hospital,","Royal Melbourne Hospital [Parkville] Hospital, Victoria, Australia",Victoria,100%,Hospital,FY,2018–19,100,69,59,67,87,-37.7989153,144.95617,ROOFTOP,Victoria,"300 Grattan St, Parkville VIC 3050, Australia",ChIJcQlUfy5d1moR5yLjdZkri50
"Royal Victorian Eye and Ear Hospital Hospital,","Royal Victorian Eye and Ear Hospital Hospital, Victoria, Australia",Victoria,Not peered,Local hospital network,FY,2018–19,,95,80,78,94,-37.8089722,144.976047,ROOFTOP,Melbourne City,"The Royal Victorian Eye and Ear Hospital, 32 Gisborne St, East Melbourne VIC 3002, Australia",ChIJNSGk68RC1moRogCxBObY35U
"Royal Women's Hospital (Melbourne) Hospital,","Royal Women's Hospital (Melbourne) Hospital, Victoria, Australia",Victoria,Not peered,Local hospital network,FY,2018–19,100,85,90,74,87,-37.7986147,144.9548579,ROOFTOP,Victoria,"20 Flemington Rd, Parkville VIC 3052, Australia",ChIJeZEhcy5d1moRh6zmMr7W4Ng
"Royal Women's Hospital [Parkville] Hospital,","Royal Women's Hospital [Parkville] Hospital, Victoria, Australia",Victoria,100%,Hospital,FY,2018–19,100,85,90,74,87,-37.7986147,144.9548579,ROOFTOP,Victoria,"20 Flemington Rd, Parkville VIC 3052, Australia",ChIJeZEhcy5d1moRh6zmMr7W4Ng
"Sandringham Hospital Hospital,","Sandringham Hospital Hospital, Victoria, Australia",Victoria,100%,Hospital,FY,2018–19,100,84,82,84,94,-37.9610469,145.0181312,ROOFTOP,Victoria,"193 Bluff Rd, Sandringham VIC 3191, Australia",ChIJfZRCyPdu1moRzMmACN4pDVU
"South West Healthcare (Vic) Hospital,","South West Healthcare (Vic) Hospital, Victoria, Australia",Victoria,Not peered,Local hospital network,FY,2018–19,100,90,75,69,90,-38.3801373,142.473434,ROOFTOP,Victoria,"25 Ryot St, Warrnambool VIC 3280, Australia",ChIJnfs-G1lMzWoRR0VgtW5vSNE
"South West Healthcare [Warrnambool] Hospital,","South West Healthcare [Warrnambool] Hospital, Victoria, Australia",Victoria,100%,Hospital,FY,2018–19,100,90,75,69,90,-38.3801373,142.473434,ROOFTOP,Victoria,"25 Ryot St, Warrnambool VIC 3280, Australia",ChIJnfs-G1lMzWoRR0VgtW5vSNE
"St Vincent's Hospital (Melbourne) Limited Hospital,","St Vincent's Hospital (Melbourne) Limited Hospital, Victoria, Australia",Victoria,Not peered,Local hospital network,FY,2018–19,100,77,60,67,85,-37.807357,144.9750364,ROOFTOP,Victoria,"41 Victoria Parade, Fitzroy VIC 3065, Australia",ChIJM6_f18RC1moREvmCYOtYGXA
"St Vincent's Hospital [Fitzroy] Hospital,","St Vincent's Hospital [Fitzroy] Hospital, Victoria, Australia",Victoria,100%,Hospital,FY,2018–19,100,77,60,67,85,-37.807702,144.9737869,GEOMETRIC_CENTER,Australia,"St Vincents Hospital, Fitzroy VIC 3065, Australia",ChIJX8emQMVC1moRFTHoWYVlyhk
"Sunshine Hospital Hospital,","Sunshine Hospital Hospital, Victoria, Australia",Victoria,100%,Hospital,FY,2018–19,100,68,43,48,72,-37.7603151,144.8147791,ROOFTOP,Brimbank City,"Sunshine Hospital, 176 Furlong Rd, St Albans VIC 3021, Australia",ChIJv79K_7hf1moRnFWUlPltVrw
"Swan Hill District Health Hospital,","Swan Hill District Health Hospital, Victoria, Australia",Victoria,Not peered,Local hospital network,FY,2018–19,100,78,85,81,88,-35.3399047,143.5567514,ROOFTOP,Victoria,"48 Splatt St, Swan Hill VIC 3585, Australia",ChIJR6TN94OF22oRKx10IZFeeBU
"Swan Hill District Health [Swan Hill] Hospital,","Swan Hill District Health [Swan Hill] Hospital, Victoria, Australia",Victoria,100%,Hospital,FY,2018–19,100,78,85,81,88,-35.3399047,143.5567514,ROOFTOP,Victoria,"48 Splatt St, Swan Hill VIC 3585, Australia",ChIJR6TN94OF22oRKx10IZFeeBU
"The Alfred Hospital,","The Alfred Hospital, Victoria, Australia",Victoria,100%,Hospital,FY,2018–19,100,78,73,82,95,-37.8453752,144.9824318,GEOMETRIC_CENTER,Australia,"Alfred Hospital, Melbourne VIC 3004, Australia",ChIJOSOaZRho1moRI5149zIrRZ8
"The Bendigo Hospital Hospital,","The Bendigo Hospital Hospital, Victoria, Australia",Victoria,100%,Hospital,FY,2018–19,100,61,60,70,89,-36.7621268,144.2632878,ROOFTOP,Victoria,"133-145 Lily St, Bendigo VIC 3550, Australia",ChIJx3CRl_5Z12oRgthdWqHy4cU
"The Northern Hospital [Epping] Hospital,","The Northern Hospital [Epping] Hospital, Victoria, Australia",Victoria,100%,Hospital,FY,2018–19,100,87,78,88,98,-37.6525037,145.015576,GEOMETRIC_CENTER,Australia,"Northern Hospital, Epping VIC 3076, Australia",ChIJGZfrBfBO1moRDXkU53UFM1k
"The Royal Victorian Eye & Ear Hospital Hospital,","The Royal Victorian Eye & Ear Hospital Hospital, Victoria, Australia",Victoria,Not peered,Hospital,FY,2018–19,,95,80,78,94,-37.8089722,144.976047,ROOFTOP,Melbourne City,"The Royal Victorian Eye and Ear Hospital, 32 Gisborne St, East Melbourne VIC 3002, Australia",ChIJNSGk68RC1moRogCxBObY35U
"University Hospital Geelong Hospital,","University Hospital Geelong Hospital, Victoria, Australia",Victoria,100%,Hospital,FY,2018–19,100,68,46,56,85,-38.152092,144.3652983,GEOMETRIC_CENTER,Australia,"Bellerine St, Geelong VIC 3220, Australia",ChIJDQqTaRwU1GoRDiMWrYt_uJo
"Victoria Hospital,","Victoria Hospital, Victoria, Australia",Victoria,100%,State,FY,2018–19,100,75,66,72,89,-37.09826,147.59725,ROOFTOP,Victoria,"12 Easton St, Omeo VIC 3898, Australia",ChIJYZ2VvTJUJGsRSneosOHsMX4
"Werribee Mercy Hospital Hospital,","Werribee Mercy Hospital Hospital, Victoria, Australia",Victoria,100%,Hospital,FY,2018–19,100,83,59,59,77,-37.8870779,144.698109,ROOFTOP,Victoria,"300-310 Princes Hwy, Werribee VIC 3030, Australia",ChIJU806RauI1moR9RDBHpQWXsU
"West Gippsland Healthcare Group Hospital,","West Gippsland Healthcare Group Hospital, Victoria, Australia",Victoria,Not peered,Local hospital network,FY,2018–19,100,77,70,71,95,-38.172926,145.9278279,ROOFTOP,Victoria,"41 Landsborough St, Warragul VIC 3820, Australia",ChIJ9xgMh1mVKWsRPCpsLQWIwxI
"West Gippsland Healthcare Group [Warragul] Hospital,","West Gippsland Healthcare Group [Warragul] Hospital, Victoria, Australia",Victoria,100%,Hospital,FY,2018–19,100,77,70,71,95,-38.172926,145.9278279,ROOFTOP,Victoria,"41 Landsborough St, Warragul VIC 3820, Australia",ChIJ9xgMh1mVKWsRPCpsLQWIwxI
"Western District Health Service (Vic) Hospital,","Western District Health Service (Vic) Hospital, Victoria, Australia",Victoria,Not peered,Local hospital network,FY,2018–19,100,97,88,90,97,-37.7366582,142.0309292,ROOFTOP,Victoria,"20 Foster St, Hamilton VIC 3300, Australia",ChIJmauI6_kBzWoRMEJCFKV5BQ8
"Western District Health Service [Hamilton] Hospital,","Western District Health Service [Hamilton] Hospital, Victoria, Australia",Victoria,100%,Hospital,FY,2018–19,100,97,88,90,97,-37.7366582,142.0309292,ROOFTOP,Victoria,"20 Foster St, Hamilton VIC 3300, Australia",ChIJmauI6_kBzWoRMEJCFKV5BQ8
"Western Health (Vic) Hospital,","Western Health (Vic) Hospital, Victoria, Australia",Victoria,Not peered,Local hospital network,FY,2018–19,,69,51,58,79,-37.7594326,144.8163574,ROOFTOP,Victoria,"176 Furlong Rd, St Albans VIC 3021, Australia",ChIJ____vLlf1moRjbCZ4mdOG08
"Western Hospital [Footscray] Hospital,","Western Hospital [Footscray] Hospital, Victoria, Australia",Victoria,100%,Hospital,FY,2018–19,100,68,60,63,77,-37.7921254,144.8869451,ROOFTOP,Victoria,"160 Gordon St, Footscray VIC 3011, Australia",ChIJH-C13e5d1moRv0gpKikKGoc
"Williamstown Hospital Hospital,","Williamstown Hospital Hospital, Victoria, Australia",Victoria,100%,Hospital,FY,2018–19,,89,92,76,93,-37.8632855,144.8924946,GEOMETRIC_CENTER,Australia,"Stewart St, Williamstown VIC 3016, Australia",ChIJK2h3I-xm1moR6tk90lz2DTM
